,Team,Date,Home,ML,PL,Line Mvmt,net_goals,season_wins
0,Carolina Hurricanes,2020-08-01,1,-126,,,29,38
1,New York Rangers,2020-08-01,0,108,,,12,37
2,Chicago Blackhawks,2020-08-01,1,132,,,-6,32
3,Edmonton Oilers,2020-08-01,0,-151,,,8,37
4,Florida Panthers,2020-08-01,1,-100,,,3,35
5,New York Islanders,2020-08-01,0,-118,,,-1,35
6,Montreal Canadiens,2020-08-01,1,146,,,-9,31
7,Pittsburgh Penguins,2020-08-01,0,-169,,,28,40
8,Calgary Flames,2020-08-01,1,-123,,,-5,36
9,Winnipeg Jets,2020-08-01,0,104,,,13,37
10,Arizona Coyotes,2020-08-02,1,110,,,8,33
11,Nashville Predators,2020-08-02,0,-128,,,-2,35
12,Boston Bruins,2020-08-02,1,-134,,,53,44
13,Philadelphia Flyers,2020-08-02,0,115,,,36,41
14,Colorado Avalanche,2020-08-02,1,-106,,,46,42
15,St Louis Blues,2020-08-02,0,-104,,,32,42
16,Columbus Blue Jackets,2020-08-02,1,132,,,-7,33
17,Toronto Maple Leafs,2020-08-02,0,-151,,,11,36
18,Minnesota Wild,2020-08-02,1,-103,,,0,35
19,Vancouver Canucks,2020-08-02,0,-114,,,11,36
20,Tampa Bay Lightning,2020-08-03,1,-125,,,50,43
21,Washington Capitals,2020-08-03,0,107,,,25,41
22,Dallas Stars,2020-08-03,1,107,,,3,37
23,Vegas Golden Knights,2020-08-03,0,-125,,,16,39
